name,sanskrit,position,balancing,forwardfold,legstrengthening,legstretching,corestrengthening,hipstrengthening,hipopening,armshoulderstrengthening,armshoulderstretching,backstrengthening,backstretching,backbending,twisting,sidebending
One Legged King Pigeon,Eka Pāda Rājakapotāsana,Seated,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no
One Legged King Pigeon - Mermaid,,Seated,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no
Standing Knee to Chest,,Standing,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no
Locust,Śalabhāsana,Prone,no,no,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no
Half Locust,Ardha Śalabhāsana,Prone,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Dancer's ,,Standing,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no
King Dancer's,Naṭarājāsana,Standing,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no
Lotus,Padmāsana,Seated,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no
Half Lotus,Ardha Padmāsana,Seated,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no
Lunge,,On Arms & Legs,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
Lunge with Arm Extended Forward,,On Arms & Legs,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
Runner's Lunge,,On Arms & Legs,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
Lunge on the Knee,,On Arms & Legs,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
Lunge with Arm Extended Up,,On Arms & Legs,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no
Runner's Lunge with Knee Down,,On Arms & Legs,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
Lunge on the Knee with Arm Extended Forward,,On Arms & Legs,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
Lunge on the Knee with Arm Extended Up,,On Arms & Legs,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no
Marichi's I,Marīchyāsana I,Seated,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no
Marichi's III,Marīchyāsana III,Seated,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no
Mountain,Tāḍāsana,Standing,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no
Forearm Stand / Feathered Peacock,Pīñcha Mayūrāsana,Inversion,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no
Pigeon,Kapotāsana,On Knees,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no
Flying Pigeon,Eka Pāda Gālavāsana,Inversion,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no
Supine Pigeon,Supta Kapotāsana,Supine,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
Plank,Phalakāsana,On Arms & Legs,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no
One Legged Plank,Eka Pāda Phalakāsana,On Arms & Legs,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Side Plank,Vasiṣṭhāsana,On Arms & Legs,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes
Extended Side Plank,Utthita Vasiṣṭhāsana,On Arms & Legs,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes
Upward Plank,Pūrvottānāsana,On Arms & Legs,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no
Plow,Halāsana,Inversion,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no
Pyramid,Pārśvottānāsana,Standing,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no
Half Splits / Pyramid on the Knee,,On Arms & Legs,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no
Rabbit,Sasangāsana,On Knees,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no
Legs  Up the Wall / Rejuvination,Supta Daṇḍāsana,Supine,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Scale,Tolāsana,Inversion,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no
Scorpion,Vṛśchikāsana I,Inversion,yes,no,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no
Scorpion Handstand,Vṛśchikāsana II,Inversion,yes,no,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no
Shoulder Stand,Sālamba Sarvāṅgāsana,Inversion,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no
Unsupported Shoulder Stand,Nirālamba Sarvāṅgāsana,Inversion,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no
Bound Side Angle,Baddha Pārśvakoṇāsana,Standing,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Extended Side Angle,Utthita Pārśvakoṇāsana,Standing,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Revolved Side Angle,Parivṛtta Pārśvakoṇāsana,Standing,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Bound Revolved Side Angle,Parivṛtta Baddha Pārśvakoṇāsana,Standing,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Sleeping Half Pigeon / Swan,,Prone,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no
Sphinx,,Prone,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no
Supine Spinal Twist,Supta Jaṭhara Parivartānāsana,Supine,no,no,no,yes,no,no,no,no,yes,no,yes,no,yes,no
Front Splits / Monkey,Hanumānāsana,Seated,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
Side Splits / Center Splits,Upaviṣṭha Koṇāsana,Seated,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
Standing Splits,Ūrdhva Prasārita Eka Pādāsana,Standing,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
Squatting Toe Balance,,Standing,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no
Squatting Toe Balance with Opened Knees,,Standing,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no
Revolved Squatting Toe Balance,,Standing,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no
Bound Revolved Squatting Toe Balance,Pāśasana,Standing,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,no
Staff,Daṇḍāsana,Seated,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no
Inverted Staff,Dvi Pāda Viparīta Daṇḍāsana,On Arms & Legs,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no
Four Limbed Staff,Chaturaṅga Daṇḍāsana,On Arms & Legs,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Reverse Table,Pūrvottānāsana,On Arms & Legs,no,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no
Tortoise,Kūrmāsana,Inversion,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no
Tree,Vṛkṣāsana,Standing,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no
Triangle,Trikoṇāsana,Standing,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes
Revolved Triangle,Parivṛtta Trikoṇāsana,Standing,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no
Upward-Facing Dog,Ūrdhva Mukha Śvānāsana,On Arms & Legs,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no
Reverse Warrior,Pārśva Vīrabhadrāsana,Standing,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
Warrior Twist,,Standing,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no
Warrior I,Vīrabhadrāsana I,Standing,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no
Warrior I Forward Bend / Arms Extended Forward,,Standing,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no
Warrior II,Vīrabhadrāsana II,Standing,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no
Warrior III / Balancing Stick,Vīrabhadrāsana III,Standing,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no
Wheel / Upward Bow,Ūrdhva Dhanurāsana,On Arms & Legs,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no
One Legged Wheel,Eka Pāda Ūrdhva Dhanurāsana,On Arms & Legs,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no
Wild Thing,Camatkārāsana,On Arms & Legs,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no
Wind Removing / Supine Knees to Chest / Supine Ball Pose,Pavanamuktāsana,Supine,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no
One Legged Wind Removing,Eka Pāda Pavanamuktāsana,Supine,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no
Dragonfly / Grasshopper,,Inversion,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
Compass,Parivrtta Surya Yantrasana,Seated,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Gate ,Parighasana,On Arms & Legs,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,yes
Standing Figure Four,,Standing,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no
Revolved Hand to Big Toe Pose,Parivrtta Hasta Padangusthasana,Standing,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no
